text,role
"Experienced software engineer with 5 years in Python, Django, SQL. Developed scalable web apps.",Software Engineer
"Data Scientist proficient in Machine Learning, Python, scikit-learn, TensorFlow. Built predictive models.",Data Scientist
"HR Manager with 10 years experience in recruitment, talent acquisition, communication, and onboarding.",HR Manager
"Frontend Developer skilled in HTML, CSS, JavaScript, React. Created responsive UI designs.",Frontend Developer
"DevOps Engineer experienced in Docker, Kubernetes, AWS, CI/CD, and infrastructure as code.",DevOps Engineer
"Product Manager leading agile teams, gathering requirements, and delivering high-quality products.",Product Manager
"Machine Learning Engineer with strong background in NLP, deep learning, PyTorch, and deploying models.",Data Scientist
"Backend Developer working with Node.js, Express, MongoDB, and microservices architecture.",Software Engineer
"Fullstack developer knowing React, Node.js, MySQL, Python. Good at everything.",Software Engineer
"Recruiter familiar with ATS, LinkedIn sourcing, interviewing, and employee relations.",HR Manager
"Systems Administrator dealing with Linux, network security, bash scripting.",DevOps Engineer
"Web developer creating sites with HTML CSS JS and Angular.",Frontend Developer
